uuid,uuid_specialpurposearea,uuid_districtboundarydong
"476",specialpurposearea_476,districtboundarydong_11650101
"477",specialpurposearea_477,districtboundarydong_11650101
"478",specialpurposearea_478,districtboundarydong_11650101
"479",specialpurposearea_479,districtboundarydong_11650101
"480",specialpurposearea_480,districtboundarydong_11650101
"481",specialpurposearea_481,districtboundarydong_11650101
"482",specialpurposearea_482,districtboundarydong_11650101
"483",specialpurposearea_483,districtboundarydong_11650101
"484",specialpurposearea_484,districtboundarydong_11650101
"485",specialpurposearea_485,districtboundarydong_11650101
"486",specialpurposearea_486,districtboundarydong_11650101
"487",specialpurposearea_487,districtboundarydong_11650101
"488",specialpurposearea_488,districtboundarydong_11650101
"489",specialpurposearea_489,districtboundarydong_11650101
"490",specialpurposearea_490,districtboundarydong_11650101
"491",specialpurposearea_491,districtboundarydong_11650101
"492",specialpurposearea_492,districtboundarydong_11650101
"493",specialpurposearea_493,districtboundarydong_11650101
"494",specialpurposearea_494,districtboundarydong_11650101
"495",specialpurposearea_495,districtboundarydong_11650101
"496",specialpurposearea_496,districtboundarydong_11650101
"497",specialpurposearea_497,districtboundarydong_11650101
"498",specialpurposearea_498,districtboundarydong_11650101
"499",specialpurposearea_499,districtboundarydong_11650101
"500",specialpurposearea_500,districtboundarydong_11650101
"501",specialpurposearea_501,districtboundarydong_11650101
"502",specialpurposearea_502,districtboundarydong_11650101
"503",specialpurposearea_503,districtboundarydong_11650101
"504",specialpurposearea_504,districtboundarydong_11650101
"505",specialpurposearea_505,districtboundarydong_11650101
"506",specialpurposearea_506,districtboundarydong_11650101
"507",specialpurposearea_507,districtboundarydong_11650101
"508",specialpurposearea_508,districtboundarydong_11650101
"509",specialpurposearea_509,districtboundarydong_11650101
"510",specialpurposearea_510,districtboundarydong_11650101
"511",specialpurposearea_511,districtboundarydong_11650101
"512",specialpurposearea_512,districtboundarydong_11650101
"513",specialpurposearea_513,districtboundarydong_11650101
"514",specialpurposearea_514,districtboundarydong_11650101
"515",specialpurposearea_515,districtboundarydong_11650101
"516",specialpurposearea_516,districtboundarydong_11650101
"517",specialpurposearea_517,districtboundarydong_11650101
"518",specialpurposearea_518,districtboundarydong_11650101
"519",specialpurposearea_519,districtboundarydong_11650101
"520",specialpurposearea_520,districtboundarydong_11650101
"521",specialpurposearea_521,districtboundarydong_11650101
"522",specialpurposearea_522,districtboundarydong_11650101
"523",specialpurposearea_523,districtboundarydong_11650101
"524",specialpurposearea_524,districtboundarydong_11650101
"525",specialpurposearea_525,districtboundarydong_11650101
"526",specialpurposearea_526,districtboundarydong_11650101
"527",specialpurposearea_527,districtboundarydong_11650101
"528",specialpurposearea_528,districtboundarydong_11650101
"529",specialpurposearea_529,districtboundarydong_11650101
"530",specialpurposearea_530,districtboundarydong_11650101
"531",specialpurposearea_531,districtboundarydong_11650101
"532",specialpurposearea_532,districtboundarydong_11650101
"533",specialpurposearea_533,districtboundarydong_11650101
"534",specialpurposearea_534,districtboundarydong_11650101
"535",specialpurposearea_535,districtboundarydong_11650101
"536",specialpurposearea_536,districtboundarydong_11650101
"537",specialpurposearea_537,districtboundarydong_11650101
"538",specialpurposearea_538,districtboundarydong_11650101
"539",specialpurposearea_539,districtboundarydong_11650101
"540",specialpurposearea_540,districtboundarydong_11650101
"541",specialpurposearea_541,districtboundarydong_11650101
"542",specialpurposearea_542,districtboundarydong_11650101
"543",specialpurposearea_543,districtboundarydong_11650101
"544",specialpurposearea_544,districtboundarydong_11650101
"545",specialpurposearea_545,districtboundarydong_11650101
"546",specialpurposearea_546,districtboundarydong_11650101
"547",specialpurposearea_547,districtboundarydong_11650101
"548",specialpurposearea_548,districtboundarydong_11650101
"549",specialpurposearea_549,districtboundarydong_11650101
"550",specialpurposearea_550,districtboundarydong_11650101
"551",specialpurposearea_551,districtboundarydong_11650101
"552",specialpurposearea_552,districtboundarydong_11650101
